,Train_filename,Gen_filename,Train_duration,Gen_duration,Difference
18685,b-3_2524-2854_2755.wav,VTTS_b-3_2524-2854_2755.wav,10930,10739,191
18686,b-4_2000-5164_3066.wav,VTTS_b-4_2000-5164_3066.wav,6389,6351,38
18687,b-4_1401-1505_1403.wav,VTTS_b-4_1401-1505_1403.wav,5490,5097,393
18688,b-1_686-793_745.wav,VTTS_b-1_686-793_745.wav,6640,7372,-732
18689,b-1_4070-4105_4071.wav,VTTS_b-1_4070-4105_4071.wav,1560,1579,-19
18690,b-1_1212-1312_1278.wav,VTTS_b-1_1212-1312_1278.wav,2950,2577,373
18691,b-1_3834-3934_3888.wav,VTTS_b-1_3834-3934_3888.wav,5400,5631,-231
18692,b-2_815-916_820.wav,VTTS_b-2_815-916_820.wav,3270,3541,-271
18693,b-4_301-400_321.wav,VTTS_b-4_301-400_321.wav,8900,9044,-144
18694,b-4_2000-5164_4666.wav,VTTS_b-4_2000-5164_4666.wav,3866,3773,93
18695,b-3_1-97_82.wav,VTTS_b-3_1-97_82.wav,4500,4621,-121
18696,b-3_4607-5008_4854.wav,VTTS_b-3_4607-5008_4854.wav,3030,2868,162
18697,b-3_4607-5008_4736.wav,VTTS_b-3_4607-5008_4736.wav,3740,4098,-358
18698,b-3_6116-6215_6123.wav,VTTS_b-3_6116-6215_6123.wav,1580,1509,71
18699,b-4_1301-1400_1368.wav,VTTS_b-4_1301-1400_1368.wav,6840,6548,292
18700,b-1_4286-4321_4293.wav,VTTS_b-1_4286-4321_4293.wav,4680,5735,-1055
18701,b-3_501-930_599.wav,VTTS_b-3_501-930_599.wav,4020,3785,235
18702,b-3_6116-6215_6121.wav,VTTS_b-3_6116-6215_6121.wav,3980,4714,-734
18703,b-4_501-1014_897.wav,VTTS_b-4_501-1014_897.wav,9190,9985,-795
18704,b-3_5853-5956_5945.wav,VTTS_b-3_5853-5956_5945.wav,4910,4284,626
18705,b-1_4286-4321_4286.wav,VTTS_b-1_4286-4321_4286.wav,2330,2566,-236
18706,b-4_2000-5164_4337.wav,VTTS_b-4_2000-5164_4337.wav,3276,3239,37
18707,b-3_4607-5008_4710.wav,VTTS_b-3_4607-5008_4710.wav,6270,7697,-1427
18708,b-3_1079-1320_1239.wav,VTTS_b-3_1079-1320_1239.wav,3440,3564,-124
